akureyringa,a: k_h Y r ei r i N k a,north_clear,a:.k_h Y.r ei.r i N.k a,a:1. k_h Y0. r ei1. r i0 N. k a0,
alberto,a l p E r_0 t ou,all,a l.p E r_0.t ou,a0 l. p E1 r_0. t ou0,Erlent
aldursári,a l t Y r_0 s au r I,all,a l.t Y r_0 s.au.r I,a1 l. t Y0 r_0 s. au1. r I0,
algjöru,a l c 9 r Y,all,a l.c 9.r Y,a1 l. c 90. r Y0,
alist,a: l I s t,all,a:.l I s t,a:1. l I0 s t,
alið,a: l I D,all,a:.l I D,a:1. l I0 D,
allsherjar,a l s h E r j a r,all,a l s.h E r.j a r,a1 l s. h E0 r. j a0 r,
almar,a l m a r,all,a l.m a r,a1 l. m a0 r,
almenni,a l m E n I,all,a l.m E n.I,a1 l. m E0 n. I0,
amp,a m p_h,northeast_clear,a m p_h,a1 m p_h,
amp,a m_0 p,standard_clear,a m_0 p,a1 m_0 p,Skammstöfun?
annarlegu,a n a r l E G Y,all,a.n a r.l E.G Y,a1. n a0 r. l E1. G Y0,
annist,a n I s t,all,a.n I s t,a1. n I0 s t,
arngrímur,a r t n k r i m Y r,all,a r t n.k r i.m Y r,a1 r t n. k r i0. m Y0 r,
auglýsti,9i G l i s t I,all,9i G.l i s.t I,9i1 G. l i0 s. t I0,
augnabliki,9i k n a p l I c I,standard_clear,9i k.n a.p l I.c I,9i1 k. n a0. p l I1. c I0,
augnabliki,9i k n a p l I c_h I,north_clear,9i k.n a.p l I.c_h I,9i1 k. n a0. p l I1. c_h I0,
augsburg,au k s p u r k,all,au k s.p u r k,au1 k s. p u0 r k,Erlent
aukana,9i: k a n a,standard_clear,9i:.k a.n a,9i:1. k a0. n a0,
aukana,9i: k_h a n a,north_clear,9i:.k_h a.n a,9i:1. k_h a0. n a0,
aura,9i: r a,all,9i:.r a,9i:1. r a0,
austurríska,9i s t Y r i s k a,all,9i s.t Y.r i s.k a,9i1 s. t Y0. r i1 s. k a0,
austurvöll,9i s t Y r v 9 t l_0,all,9i s.t Y r.v 9 t l_0,9i1 s. t Y0 r. v 91 t l_0,
auðun,9i: D Y n,all,9i:.D Y n,9i:1. D Y0 n,
aviv,a v i v,all,a.v i v,a0. v i1 v,Erlent
aðaláfrýjanda,a: D a l au f r i j a n t a,all,a:.D a l.au.f r i.j a n.t a,a:1. D a0 l. au1. f r i0. j a0 n. t a0,
aðdáendum,a D t au E n t Y m,all,a D.t au.E n.t Y m,a1 D. t au0. E1 n. t Y0 m,
aðgerðunum,a D c E r D O n Y m,all,a D.c E r.D O.n Y m,a1 D. c E0 r. D O1. n Y0 m,
aðildarríkjanna,a: D I l t a r i c a n a,standard_clear,a:.D I l.t a.r i.c a.n a,a:1. D I0 l. t a0. r i1. c a0. n a0,
aðildarríkjanna,a: D I l t a r i c_h a n a,north_clear,a:.D I l.t a.r i.c_h a.n a,a:1. D I0 l. t a0. r i1. c_h a0. n a0,
aðildarviðræðum,a: D I l t a r v I D r ai D Y m,all,a:.D I l.t a r.v I D.r ai.D Y m,a:1. D I0 l. t a0 r. v I1 D. r ai0. D Y0 m,
bandalagið,p a n t a l ai j I D,all,p a n.t a.l ai.j I D,p a1 n. t a0. l ai1. j I0 D,
bandamanna,p a n t a m a n a,all,p a n.t a.m a.n a,p a1 n. t a0. m a1. n a0,
bandaríkjaher,p a n t a r i c a h E r,standard_clear,p a n.t a.r i.c a.h E r,p a1 n. t a0. r i1. c a0. h E1 r,
bandaríkjaher,p a n t a r i c_h a h E r,north_clear,p a n.t a.r i.c_h a.h E r,p a1 n. t a0. r i1. c_h a0. h E1 r,
bandarískar,p a n t a r i s k a r,all,p a n.t a.r i s.k a r,p a1 n. t a0. r i1 s. k a0 r,
barbara,p a r p a r a,all,p a r.p a.r a,p a1 r. p a0. r a0,
barinn,p a: r I n,all,p a:.r I n,p a:1. r I0 n,
barnastarf,p a r t n a s t a r f,standard_clear,p a r t.n a.s t a r f,p a1 r t. n a0. s t a1 r f,
barnastarf,p a t n a s t a r f,standard_cas,p a t.n a.s t a r f,p a1 t. na0. s t a1 r f,
barnaverndar,p a r t n a v E r n t a r,standard_clear,p a r t.n a.v E r n.t a r,p a1 r t. n a0. v E1 r n. t a0 r,
barnaverndar,p a t n a v E n t a r,standard_cas,p a t.n a.v E n.t a r,p a1 t. n a0. v E1 n. t a0 r,
barnsley,p a r n s t l ei,all,p a r n.s t l ei,p a1 r n. s t l ei0,Erlent
barnæsku,p a r t n ai s k Y,standard_clear,p a r t n.ai s.k Y,p a1 r t n. ai0 s. k Y0,
barnæsku,p a t n ai s k Y,standard_cas,p a t n.ai s.k Y,p a1 t n. ai0 s. k Y0,
barð,p a r D,all,p a r D,p a1 r D,
berbatov,p E r p a t_h O v,all,p E r.p a.t_h O v,p E1 r. p a0. t_h O0 v,
bergljót,p E r k l j ou t,standard_clear,p E r k.l j ou t,p E1 r k. l j ou0 t,
bergljót,p E r k l j ou t_h,north_clear,p E r k.l j ou t_h,p E1 r k. l j ou0 t_h,
bestum,p E s t Y m,all,p E s.t Y m,p E1 s. t Y0 m,
bieber,p i p E r,all,p i.p E r,p i1. p E0 r,Erlent
bikarmeistarar,p I: k a r m ei s t a r a r,standard_clear,p I:.k a r.m ei s.t a.r a r,p I:1. k a0 r. m ei1 s. t a0. r a0 r,
bikarmeistarar,p I: k_h a r m ei s t a r a r,north_clear,p I:.k_h a r.m ei s.t a.r a r,p I:1. k_h a0 r. m ei1 s. t a0. r a0 r,
billy,p I l i,all,p I.l i,p I1. l i0,Erlent
birtingar,p I r_0 t i N k a r,all,p I r_0.t i N.k a r,p I1 r_0. t i0 N. k a0 r,
bitnar,p I h t n a r,all,p I h t.n a r,p I1 h t. n a0 r,
biðst,p I D s t,all,p I D s t,p I1 D s t,
bjarnadóttur,p j a r t n a t ou h t Y r,standard_clear,p j a r t.n a.t ou h.t Y r,p j a1 r t. n a0. t ou1 h. t Y0 r,
bjarnadóttur,p j a t n a t ou h t Y r,standard_cas,p j a t.n a.t ou h.t Y r,p j a1 t. n a0. t ou1 h. t Y0 r,
björgu,p j 9 r k Y,all,p j 9 r.k Y,p j 91 r. k Y0,
björgunarmenn,p j 9 r k Y n a r m E n,all,p j 9 r.k Y.n a r.m E n,p j 91 r. k Y0. n a0 r. m E1 n,
blikum,p l I: k Y m,standard_clear,p l I:.k Y m,p l I:1. k Y0 m,
blikum,p l I: k_h Y m,north_clear,p l I:.k_h Y m,p l I:1. k_h Y0 m,
bloggsíðu,p l O k s i D Y,all,p l O k.s i.D Y,p l O1 k. s i0. D Y0,
bláu,p l au: Y,all,p l au:.Y,p l au:1. Y0,
blæ,p l ai:,all,p l ai:,p l ai:1,
blómin,p l ou: m I n,all,p l ou:.m I n,p l ou:1. m I0 n,
blöðunum,p l 9: D O n Y m,all,p l 9:.D O.n Y m,p l 9:1. D O0. n Y0 m,
boga,p O: G a,all,p O:.G a,p O:1. G a0,
bolla,p O t l a,all,p O t.l a,p O1 t. l a0,
bologna,p O l ou n j a,all,p O.l ou n.j a,p O0. l ou1 n. j a0,Erlent
borgarbúar,p O r k a r_0 p u a r,all,p O r.k a r_0.p u.a r,p O1 r. k a0 r_0. p u1. a0 r,
borgartúni,p O r k a r_0 t_h u n I,all,p O r.k a r_0.t_h u.n I,p O1 r. k a0 r_0. t_h u1. n I0,
borgun,p O r k Y n,all,p O r.k Y n,p O1 r. k Y0 n,
borðaði,p O r D a D I,all,p O r.D a.D I,p O1 r. D a0. D I0,
brasilíumaðurinn,p r a: s I l i j Y m a D Y r I n,all,p r a:.s I.l i.j Y.m a.D Y.r I n,p r a:1. s I0. l i1. j Y0. m a1. D Y0. r I0 n,
breivik,p r ei: v i k,standard_clear,p r ei:.v i k,p r ei:1. v i0 k,Erlent
breivik,p r ei: v i k_h,north_clear,p r ei:.v i k_h,p r ei:1. v i0 k_h,Erlent
breið,p r ei: D,all,p r ei: D,p r ei:1 D,
brennur,p r E n Y r,all,p r E n.Y r,p r E1 n. Y0 r,
brentford,p r E n t f O r t,northeast_clear,p r E n t.f O r t,p r E1 n t. f O0 r t,Erlent
brentford,p r E n_0 t f O r t,standard_clear,p r E n_0 t.f O r t,p r E1 n_0 t. f O0 r t,Erlent
bretlandseyjum,p r E: t l a n s ei j Y m,standard_cas,p r E: t.l a n s.ei.j Y m,p r E:1 t. l a0 n s. ei1. j Y0 m,
bretlandseyjum,p r E: t l a n t s ei j Y m,standard_clear,p r E: t.l a n t s.ei.j Y m,p r E:1 t. l a0 n t s. ei1. j Y0 m,
brids,p r I t s,all,p r I t s,p r I1 t s,
brjóstið,p r j ou s t I D,all,p r j ou s.t I D,p r j ou1 s. t I0 D,
brosi,p r O: s I,all,p r O:.s I,p r O:1. s I0,
brynju,p r I n j Y,all,p r I n.j Y,p r I1 n. j Y0,
bráðlega,p r au: D l E G a,all,p r au: D.l E.G a,p r au:1 D. l E0. G a0,
bræðra,p r ai D r a,all,p r ai D.r a,p r ai1 D. r a0,
brúin,p r u: I n,all,p r u:.I n,p r u:1. I0 n,
byrjunarliðin,p I r j Y n a r l I D I n,all,p I r.j Y.n a r.l I.D I n,p I1 r. j Y0. n a0 r. l I1. D I0 n,
bárðarbungu,p au r D a r p u N k Y,all,p au r.D a r.p u N.k Y,p au1 r. D a0 r. p u1 N. k Y0,
bæru,p ai: r Y,all,p ai:.r Y,p ai:1. r Y0,
bílslysi,p i l s t l I s I,all,p i l.s t l I.s I,p i1 l. s t l I0. s I0,
bílstjóra,p i l s t j ou r a,all,p i l.s t j ou.r a,p i1 l s. t j ou0. r a0,
bíómynd,p i: ou m I n t,all,p i:.ou.m I n t,p i:1. ou0. m I1 n t,
búnaðar,p u: n a D a r,all,p u:.n a.D a r,p u:1. n a0. D a0 r,
búninga,p u: n i N k a,all,p u:.n i N.k a,p u:1. n i0 N. k a0,
daglegur,t a G l E G Y r,all,t a G.l E.G Y r,t a1 G. l E0. G Y0 r,
dagmar,t a G m a r,all,t a G.m a r,t a1 G. m a0 r,
dagsettri,t a x s E h t r I,all,t a x.s E h.t r I,t a1 x. s E0 h. t r I0,
dagskrána,t a x s k r au n a,all,t a x.s k r au.n a,t a1 x. s k r au0. n a0,
dalir,t a: l I r,all,t a:.l I r,t a:1. l I0 r,
dauð,t 9i: D,all,t 9i: D,t 9i:1 D,
deigið,t ei j I D,all,t ei.j I D,t ei1. j I0 D,
deilna,t ei l n a,all,t ei l.n a,t ei1 l. n a0,
disk,t I s k,all,t I s k,t I1 s k,
dollarar,t O l a r a r,all,t O l.a.r a r,t O1 l. a0. r a0 r,
dreg,t r E: G,all,t r E: G,t r E:1 G,
dreifðu,t r ei v D Y,all,t r ei v.D Y,t r ei1 v. D Y0,
dubai,t u p ai,all,t u.p ai,t u0. p ai1,Erlent
dublin,t 9 p l I n,all,t 9 p.l I n,t 91 p. l I0 n,Erlent
dæmir,t ai: m I r,all,t ai:.m I r,t ai:1. m I0 r,
díana,t i a n a,all,t i.a.n a,t i1. a0. n a0,
dómarans,t ou: m a r a n s,all,t ou:.m a.r a n s,t ou:1. m a0. r a0 n s,
dómsmálaráðuneytisins,t ou m s m au l a r au D Y n ei t I s I n s,standard_clear,t ou m s.m au.l a.r au.D Y.n ei.t I.s I n s,t ou1 m s. m au0. l a0. r au1. D Y0. n ei1. t I0. s I0 n s,
dómsmálaráðuneytisins,t ou m s m au l a r au D Y n ei t_h I s I n s,north_clear,t ou m s.m au.l a.r au.D Y.n ei.t_h I.s I n s,t ou1 m s. m au0. l a0. r au1. D Y0. n ei1. t_h I0. s I0 n s,
dótturina,t ou h t Y r I n a,all,t ou h.t Y.r I.n a,t ou1 h. t Y0. r I1. n a0,
dóu,t ou: Y,all,t ou:.Y,t ou:1. Y0,
dýrmætar,t i r m ai t a r,standard_clear,t i r.m ai.t a r,t i1 r. m ai0. t a0 r,
dýrmætar,t i r m ai t_h a r,north_clear,t i r.m ai.t_h a r,t i1 r. m ai0. t_h a0 r,
dýrustu,t i: r Y s t Y,all,t i:.r Y s.t Y,t i:1. r Y0 s. t Y0,
eddie,E t i,all,E t.i,E1 t. i0,Erlent
efling,E p l i N k,all,E p.l i N k,E1 p. l i0 N k,
efnahagslífsins,E p n a h a x s t l i f s I n s,all,E p.n a.h a x s t.l i f.s I n s,E1 p. n a0. h a0 x s t. l i1 f. s I0 n s,
eftirspurnar,E f t I r_0 s p Y r t n a r,standard_clear,E f.t I r_0.s p Y r t.n a r,E1 f. t I0 r_0. s p Y1 r t. n a0 r,
eftirspurnar,E f t I r_0 s p Y t n a r,standard_cas,E f.t I r_0.s p Y t.n a r,E1 f. t I0 r_0. s p Y1 t. n a0 r,
eiginleikar,ei j I n l ei k a r,standard_clear,ei.j I n.l ei.k a r,ei1. j I0 n. l ei1. k a0 r,
eiginleikar,ei j I n l ei k_h a r,north_clear,ei.j I n.l ei.k_h a r,ei1. j I0 n. l ei1. k_h a0 r,
eignaraðild,ei k n a r a D I l t,all,ei k.n a r.a.D I l t,ei1 k. n a0 r. a1. D I0 l t,
einbeitingu,ei n p ei t i N k Y,standard_clear,ei n.p ei.t i N.k Y,ei1 n. p ei0. t i1 N. k Y0,
einbeitingu,ei n p ei t_h i N k Y,north_clear,ei n.p ei.t_h i N.k Y,ei1 n. p ei0. t_h i1 N. k Y0,
eindhoven,ai n t h ou v E n,all,ai n t.h ou.v E n,ai1 n t. h ou0. v E0 n,Erlent
einfaldan,ei n f a l t a n,all,ei n.f a l.t a n,ei1 n. f a0 l. t a0 n,
einföldun,ei n f 9 l t Y n,all,ei n.f 9 l.t Y n,ei1 n. f 90 l. t Y0 n,
einkahlutafélög,ei N k_h a l_0 Y t_h a f j E l 9 G,northeast_clear,ei N.k_h a.l_0 Y.t_h a.f j E.l 9 G,ei1 N. k_h a0. l_0 Y1. t_h a0. f j E1. l 90 G,
einkahlutafélög,ei N_0 k a l_0 Y t a f j E l 9 G,standard_clear,ei N_0.k a.l_0 Y.t a.f j E.l 9 G,ei1 N_0. k a0. l_0 Y1. t a0. f j E1. l 90 G,
einkahlutafélög,ei N_0 k a l_0 Y t_h a f j E l 9 G,north_clear,ei N_0.k a.l_0 Y.t_h a.f j E.l 9 G,ei1 N_0. k a0. l_0 Y1. t_h a0. f j E1. l 90 G,
einkennst,ei J c_h E n s t,all,ei J.c_h E n s t,ei1 J. c_h E0 n s t,
einlægur,ei n l ai G Y r,all,ei n.l ai.G Y r,ei1 n. l ai0. G Y0 r,
einokun,ei: n O k Y n,standard_clear,ei:.n O.k Y n,ei:1. n O0. k Y0 n,
einokun,ei: n O k_h Y n,north_clear,ei:.n O.k_h Y n,ei:1. n O0. k_h Y0 n,
einstakan,ei n s t a k a n,standard_clear,ei n.s t a.k a n,ei1 n. s t a0. k a0 n,
einstakan,ei n s t a k_h a n,north_clear,ei n.s t a.k_h a n,ei1 n. s t a0. k_h a0 n,
einvígið,ei n v i j I D,all,ei n.v i.j I D,ei1 n. v i0. j I0 D,
ekvador,E: k_h v a t O r,all,E.k_h v a.t O r,E1. k_h v a0. t O0 r,Óviss
eldar,E l t a r,all,E l.t a r,E1 l. t a0 r,
eldhúsborðið,E l t h u s p O r D I D,all,E l t.h u s.p O r.D I D,E1 l t. h u0 s. p O1 r. D I0 D,
ellegar,E t l E G a r,all,E t.l E.G a r,E1 t. l E0. G a0 r,
elskum,E l s k Y m,all,E l s.k Y m,E1 l s. k Y0 m,
endalok,E n t a l O k,standard_clear,E n.t a.l O k,E1 n. t a0. l O0 k,
endalok,E n t a l O k_h,north_clear,E n.t a.l O k_h,E1 n. t a0. l O0 k_h,
endanlegar,E n t a n l E G a r,all,E n.t a n.l E.G a r,E1 n. t a0 n. l E1. G a0 r,
endist,E n t I s t,all,E n.t I s t,E1 n. t I0 s t,
endurbóta,E n t Y r_0 p ou t a,standard_clear,E n.t Y r_0.p ou.t a,E1 n. t Y0 r_0. p ou1. t a0,
endurbóta,E n t Y r_0 p ou t_h a,north_clear,E n.t Y r_0.p ou.t_h a,E1 n. t Y0 r_0. p ou1. t_h a0,
endurgreiðslur,E n t Y r_0 k r ei D s t l Y r,all,E n.t Y r_0.k r ei D.s t l Y r,E1 n. t Y0 r_0. k r ei1 D. s t l Y0 r,
endurmeta,E n t Y r m E t a,standard_clear,E n.t Y r.m E.t a,E1 n. t Y0 r. m E1. t a0,
endurmeta,E n t Y r m E t_h a,north_clear,E n.t Y r.m E.t_h a,E1 n. t Y0 r. m E1. t_h a0,
endurvinnslu,E n t Y r v I n s t l Y,all,E n.t Y r.v I n s t.l Y,E1 n. t Y0 r. v I1 n s t. l Y0,Óviss
engri,ei N k r I,all,ei N.k r I,ei1 N. k r I0,
erfiðast,E r v I D a s t,all,E r.v I.D a s t,E1 r. v I0. D a0 s t,
erlendsdóttir,E r l E n t s t ou h t I r,all,E r.l E n t s.t ou h.t I r,E1 r. l E0 n t s. t ou1 h. t I0 r,
europe,j u: r ou p,standard_clear,j u:.r ou p,j u:1. r ou0 p,Erlent
europe,j u: r ou p_h,north_clear,j u:.r ou p_h,j u:1. r ou0 p_h,Erlent
european,j u: r ou p_h i a n,all,j u:.r ou.p_h i.a n,j u:1. r ou0. p_h i1. a0 n,Erlent
evrópumótið,E v r ou p Y m ou t I D,standard_clear,E v.r ou.p Y.m ou.t I D,E1 v. r ou0. p Y0. m ou1. t I0 D,
evrópumótið,E v r ou p_h Y m ou t_h I D,north_clear,E v.r ou.p_h Y.m ou.t_h I D,E1 v. r ou0. p_h Y0. m ou1. t_h I0 D,
eyjafjarðar,ei: j a f j a r D a r,all,ei:.j a.f j a r.D a r,ei:1. j a0. f j a1 r. D a0 r,
eyjafjörð,ei: j a f j 9 r D,all,ei:.j a.f j 9 r D,ei:1. j a0. f j 91 r D,
eyjunnar,ei: j Y n a r,all,ei:.j Y n.a r,ei:1. j Y0 n. a0 r,
eysteinsson,ei: s t ei n s O n,all,ei:.s t ei n.s O n,ei:1. s t ei0 n. s O0 n,
eystri,ei s t r I,all,ei s.t r I,ei1 s. t r I0,
eþíópíu,E: T j ou p_h i j Y,all,E:.T j ou.p_h i.j Y,E:1. T j ou0. p_h i1. j Y0,Óviss
fangageymslur,f au N k a c ei m s t l Y r,all,f au N.k a.c ei m.s t l Y r,f au1 N. k a0. c ei1 m. s t l Y0 r,Óviss
fangelsið,f au J c E l s I D,all,f au J.c E l.s I D,f au1 J. c E0 l. s I0 D,
fasteignamati,f a s t ei k n a m a t I,standard_clear,f a s.t ei k.n a.m a.t I,f a1 s. t ei0 k. n a0. m a1. t I0,Óviss
fasteignamati,f a s t ei k n a m a t_h I,north_clear,f a s.t ei k.n a.m a.t_h I,f a1 s. t ei0 k. n a0. m a1. t_h I0,Óviss
fengjum,f ei J c Y m,all,f ei J.c Y m,f ei1 J. c Y0 m,
ferðuðust,f E r D Y D Y s t,all,f E r.D Y.D Y s t,f E1 r. D Y0. D Y0 s t,
feti,f E: t I,standard_clear,f E:.t I,f E:1. t I0,Óviss 
feti,f E: t_h I,north_clear,f E:.t_h I,f E:1. t_h I0,Óviss 
film,f I l m,all,f I l m,f I1 l m,Erlent
fiskiskip,f I s c I s c I p,standard_clear,f I s.c I.s c I p,f I1 s. c I0. s c I1 p,
fiskiskip,f I s c I s c I p_h,north_clear,f I s.c I.s c I p_h,f I1 s. c I0. s c I1 p_h,
fjallvegum,f j a t l_0 v E G Y m,all,f j a t l_0.v E.G Y m,f j a1 t l_0. v E0. G Y0 m,
fjáraukalögum,f j au: r 9i k a l 9 G Y m,standard_clear,f j au:.r 9i.k a.l 9.G Y m,f j au:1. r 9i0. k a0. l 91. G Y0 m,
fjáraukalögum,f j au: r 9i k_h a l 9 G Y m,north_clear,f j au:.r 9i.k_h a.l 9.G Y m,f j au:1. r 9i0. k_h a0. l 91. G Y0 m,
fjárframlögum,f j au r_0 f r a m l 9 G Y m,all,f j au r_0.f r a m.l 9.G Y m,f j au1 r_0. f r a0 m. l 91. G Y0 m,
fjárhæðin,f j au r_0 h ai D I n,all,f j au r_0.h ai.D I n,f j au1 r_0. h ai0. D I0 n,
fjárlagafrumvarp,f j au r l a G a f r Y m v a r_0 p,all,f j au r.l a.G a.f r Y m.v a r_0 p,f j au1 r. l a0. G a0. f r Y1 m. v a0 r_0 p,
fjármálakerfisins,f j au r m au l a c_h E r v I s I n s,all,f j au r.m au.l a.c_h E r.v I.s I n s,f j au1 r. m au0. l a0. c_h E1 r. v I0. s I0 n s,
fjármálakerfið,f j au r m au l a c_h E r v I D,all,f j au r.m au.l a.c_h E r.v I D,f j au1 r. m au0. l a0. c_h E1 r. v I0 D,
fjármálastofnana,f j au r m au l a s t O p n a n a,all,f j au r.m au.l a.s t O p.n a.n a,f j au1 r. m au0. l a0. s t O1 p. n a0. n a0,
fjármögnunar,f j au r m 9 k n Y n a r,all,f j au r.m 9 k.n Y.n a r,f j au1 r. m 90 k. n Y1. n a0 r,
fjárnám,f j au r n au m,all,f j au r.n au m,f j au1 r. n au0 m,
fjölbreytileika,f j 9 l p r ei t I l ei k a,standard_clear,f j 9 l.p r ei.t I.l ei.k a,f j 91 l. p r ei0. t I0. l ei1. k a0,
fjölbreytileika,f j 9 l p r ei t_h I l ei k_h a,north_clear,f j 9 l.p r ei.t_h I.l ei.k_h a,f j 91 l. p r ei0. t_h I0. l ei1. k_h a0,
fjölbreyttum,f j 9 l p r ei h t Y m,all,f j 9 l.p r ei h.t Y m,f j 91 l. p r ei0 h. t Y0 m,
fjölbýli,f j 9: l p i l I,all,f j 9: l.p i.l I,f j 9:1 l. p i0. l I0,
fjölgunar,f j 9 l k Y n a r,all,f j 9 l.k Y.n a r,f j 91 l. k Y0. n a0 r,
fjölmennt,f j 9 l m E n t_h,northeast_clear,f j 9 l.m E n t_h,f j 91 l. m E0 n t_h,
fjölmennt,f j 9 l m E n_0 t,standard_clear,f j 9 l.m E n_0 t,f j 91 l. m E0 n_0 t,
fjölmiðlun,f j 9 l m I D l Y n,all,f j 9 l.m I D.l Y n,f j 91 l. m I0 D. l Y0 n,
fjölskyldurnar,f j 9 l s c I l t Y r t n a r,standard_clear,f j 9 l s.c I l.t Y r t.n a r,f j 91 l s. c I0 l. t Y1 r t. n a0 r,
fjölskyldurnar,f j 9 l s c I l t Y t n a r,standard_cas,f j 9 l s.c I l.t Y t.n a r,f j 91 l s. c I0 l. t Y1 t. n a0 r,
fjöru,f j 9: r Y,all,f j 9:.r Y,f j 9:1. r Y0,
flatey,f l a: t ei,standard_clear,f l a:.t ei,f l a:1. t ei0,
flatey,f l a: t_h ei,north_clear,f l a:.t_h ei,f l a:1. t_h ei0,
flottan,f l O h t a n,all,f l O h.t a n,f l O1 h. t a0 n,
flugleiðum,f l Y G l ei D Y m,all,f l Y G.l ei.D Y m,f l Y1 G. l ei0. D Y0 m,
flugmanna,f l Y G m a n a,all,f l Y G.m a.n a,f l Y1 G. m a0. n a0,
flugstöðinni,f l Y x s t 9 D I n I,all,f l Y x.s t 9.D I.n I,f l Y1 x. s t 90. D I1. n I0,
flösku,f l 9 s k Y,all,f l 9 s.k Y,f l 91 s. k Y0,
flöt,f l 9: t,standard_clear,f l 9: t,f l 9:1 t,
flöt,f l 9: t_h,north_clear,f l 9: t_h,f l 9:1 t_h,
flúðum,f l u: D Y m,all,f l u:.D Y m,f l u:1. D Y0 m,
foreldranna,f O: r E l t r a n a,all,f O:.r E l.t r a.n a,f O:1. r E0 l. t r a1. n a0,
forgangi,f O r_0 k au J c I,all,f O r_0.k au J.c I,f O1 r_0. k au0 J. c I0,
formanna,f O r m a n a,all,f O r.m a.n a,f O1 r. m a0. n a0,
fra,f r a:,all,f r a:,f r a:1,Óviss
framangreinda,f r a: m a n k r ei n t a,all,f r a:.m a n.k r ei n.t a,f r a:1. m a0 n. k r ei1 n. t a0,
framangreindar,f r a: m a n k r ei n t a r,all,f r a:.m a n.k r ei n.t a r,f r a1. m a0 n. k r ei1 n. t a0 r,
frambjóðanda,f r a m p j ou D a n t a,all,f r a m.p j ou.D a n.t a,f r a1 m. p j ou0. D a1 n. t a0,
frambjóðendum,f r a m p j ou D E n t Y m,all,f r a m.p j ou.D E n.t Y m,f r a1 m. p j ou0. D E0 n. t Y0 m,
framlagið,f r a m l ai j I D,all,f r a m.l ai.j I D,f r a1 m. l ai0. j I0 D,
framlagningu,f r a m l a k n i N k Y,all,f r a m.l a k.n i N.k Y,f r a1 m. l a0 k. n i1 N. k Y0,
framleiddur,f r a m l ei t Y r,all,f r a m.l ei t.Y r,f r a1 m. l ei0 t. Y0 r,
framleiðslunnar,f r a m l ei D s t l Y n a r,all,f r a m.l ei D.s t l Y n.a r,f r a1 m. l ei0 D. s t l Y1 n. a0 r,Óviss
frans,f r a n s,all,f r a n s,f r a1 n s,
franskir,f r a n s c I r,all,f r a n s.c I r,f r a1 n s. c I0 r,
franskur,f r a n s k Y r,all,f r a n s.k Y r,f r a1 n s. k Y0 r,
fremsti,f r E m s t I,all,f r E m s.t I,f r E1 m s. t I0,
friðgeirsson,f r I D c ei r_0 s O n,all,f r I D.c ei r_0.s O n,f r I1 D. c ei0 r_0. s O0 n,
frjálslyndra,f r j au l s t l I n t r a,all,f r j au l s t.l I n.t r a,f r j au1 l s t. l I0 n. t r a0,Óvissa
frumflutt,f r Y m f l Y h t,all,f r Y m.f l Y h t,f r Y1 m. f l Y0 h t,
frægasta,f r ai: G a s t a,all,f r ai:.G a s.t a,f r ai:1. G a0 s. t a0,
